beer_id,beer_name,brewery_name,beer_style,abv,score,avg_score,ratings,availability,brew_state,brew_city,lat,lng
0,Kentucky Brunch Brand Stout, Toppling Goliath Brewing Company , American Imperial Stout,12.0,100,4,808,Rotating, IA , Decorah,43.3033056,-91.7857092
1,Marshmallow Handjee,3 Floyds Brewing Co., Russian Imperial Stout,15.0,100,4,1713,Spring, IN , Munster,41.564479799999994,-87.5125412
2,Hunahpu's Imperial Stout - Double Barrel Aged, Cigar City Brewing , American Imperial Stout,11.0,100,4,1627,Rotating, FL , Tampa,27.947759499999997,-82.458444
3,Barrel-Aged Abraxas, Perennial Artisan Ales , American Imperial Stout,11.0,100,4,1551,Rotating, MO , Saint Louis,38.6268039,-90.1994097
4,Heady Topper, The Alchemist , New England IPA,8.0,100,4,14697,Year-round, VT , Stowe,44.465374100000005,-72.6860186
5,Mornin' Delight, Toppling Goliath Brewing Company , American Imperial Stout,12.8,100,4,1606,Rotating, IA , Decorah,43.3033056,-91.7857092
6,Pliny The Younger, Russian River Brewing Company , American Imperial IPA,10.25,100,4,3376,Winter, CA , Santa Rosa,49.2633419,-123.1024943
7,King Julius, Tree House Brewing Company , New England IPA,8.3,100,4,1196,Rotating, MA , Charlton,42.1348444,-71.9643153
8,King JJJuliusss, Tree House Brewing Company , New England IPA,8.4,100,4,616,Rotating, MA , Charlton,42.1348444,-71.9643153
9,Very Hazy, Tree House Brewing Company , New England IPA,8.6,100,4,992,Rotating, MA , Charlton,42.1348444,-71.9643153
10,SR-71, Toppling Goliath Brewing Company , American Imperial Stout,14.0,100,4,519,Rotating, IA , Decorah,43.3033056,-91.7857092
11,Fundamental Observation, Bottle Logic Brewing , American Imperial Stout,14.3,100,4,1410,Rotating, CA , Anaheim,33.8347516,-117.911732
12,CBS (Canadian Breakfast Stout), Founders Brewing Company , American Imperial Stout,11.3,100,4,6463,Rotating, MI , Grand Rapids,42.963240500000005,-85.66786390000001
13,Pliny The Elder, Russian River Brewing Company , American Imperial IPA,8.0,100,4,15291,Year-round, CA , Santa Rosa,38.4404925,-122.71410490000001
14,Juice Machine, Tree House Brewing Company , New England IPA,8.2,100,4,1047,Rotating, MA , Charlton,42.1348444,-71.9643153
15,Fou' Foune, Brasserie Cantillon , Belgian Fruit Lambic,5.5,100,4,3146,Rotating, Belgium , Brussels,50.8436709,4.3674367
16,Assassin, Toppling Goliath Brewing Company , American Imperial Stout,12.0,100,4,1403,Rotating, IA , Decorah,43.3033056,-91.7857092
17,Very Green, Tree House Brewing Company , New England IPA,8.6,100,4,1371,Rotating, MA , Charlton,42.1348444,-71.9643153
18,Julius, Tree House Brewing Company , New England IPA,6.8,100,4,4797,Rotating, MA , Charlton,42.1348444,-71.9643153
19,Zenne Y Frontera,Brouwerij 3 Fonteinen, Belgian Lambic,7.0,100,4,317,Rotating, Belgium , Beersel,50.768372799999995,4.305109799999999
20,Double Sunshine, Lawson's Finest Liquids , American Imperial IPA,8.0,100,4,2531,Rotating, VT , Waitsfield,44.192132,-72.82270759999999
21,Abner, Hill Farmstead Brewery , New England IPA,8.2,100,4,2797,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
22,Bourbon County Brand Stout, Goose Island Beer Co. , American Imperial Stout,14.7,100,4,13068,Winter, IL , Chicago,41.875561600000005,-87.6244212
23,Trappist Westvleteren 12 (XII), Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) , Belgian Quadrupel (Quad),10.2,100,4,6719,Year-round, Belgium , Westvleteren,50.910382299999995,2.7205508999999997
24,Barrel Aged Imperial German Chocolate Cupcake Stout, Angry Chair Brewing , American Imperial Stout,11.0,100,4,290,Rotating, FL , Tampa,27.947759499999997,-82.458444
25,Dinner, Maine Beer Company , American Imperial IPA,8.2,100,4,2574,Rotating, ME , Freeport,43.857307,-70.10376
26,KBS (Kentucky Breakfast Stout), Founders Brewing Company , American Imperial Stout,12.3,100,4,13811,Spring, MI , Grand Rapids,42.963240500000005,-85.66786390000001
27,Parabola, Firestone Walker Brewing Co. , Russian Imperial Stout,13.0,100,4,7038,Rotating, CA , Paso Robles,35.6267654,-120.6912456
28,JJJuliusss, Tree House Brewing Company , New England IPA,6.8,100,4,800,Rotating, MA , Charlton,42.1348444,-71.9643153
29,Duck Duck Gooze, The Lost Abbey , Belgian Gueuze,7.0,100,4,1931,Rotating, CA , San Marcos,33.1433723,-117.1661449
30,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged, AleSmith Brewing Company , American Imperial Stout,12.0,100,4,948,Rotating, CA , San Diego,32.7174209,-117.16277140000001
31,Morning Wood, Funky Buddha Brewery , American Imperial Porter,12.0,100,4,1201,Rotating, FL , Oakland Park,26.1801443,-80.1372006
32,Lou Pepe - Kriek, Brasserie Cantillon , Belgian Fruit Lambic,5.0,100,4,1827,Rotating, Belgium , Brussels,50.8436709,4.3674367
33,Zombie Dust,3 Floyds Brewing Co., American Pale Ale (APA),6.2,100,4,10791,Year-round, IN , Munster,41.564479799999994,-87.5125412
34,Bourbon County Brand Vanilla Stout, Goose Island Beer Co. , American Imperial Stout,14.9,100,4,1932,Rotating, IL , Chicago,41.875561600000005,-87.6244212
35,Fuzzy, Side Project Brewing , American Wild Ale,8.0,100,4,955,Rotating, MO , Maplewood,38.6125521,-90.32455990000001
36,Westly, Sante Adairius Rustic Ales , American Wild Ale,8.5,100,4,389,Rotating, CA , Capitola,36.9762927,-121.9540577
37,Ann, Hill Farmstead Brewery , Belgian Saison,6.5,100,4,418,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
38,Doubleganger, Tree House Brewing Company , New England IPA,8.2,100,4,1062,Rotating, MA , Charlton,42.1348444,-71.9643153
39,Hunahpu's Imperial Stout, Cigar City Brewing , American Imperial Stout,10.2,100,4,4387,Spring, FL , Tampa,27.947759499999997,-82.458444
40,King Sue, Toppling Goliath Brewing Company , New England IPA,7.8,100,4,2933,Rotating, IA , Decorah,43.3033056,-91.7857092
41,Double Citra®, Hill Farmstead Brewery , New England IPA,8.0,100,4,2038,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
42,Atrial Rubicite, Jester King Brewery , American Wild Ale,5.8,100,4,1939,Rotating, TX , Austin,30.2711286,-97.7436995
43,Headroom, Trillium Brewing Company , New England IPA,8.0,100,4,739,Rotating, MA , Boston,42.3602534,-71.0582912
44,Double Galaxy, Hill Farmstead Brewery , New England IPA,8.0,100,4,1625,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
45,Very GGGreennn, Tree House Brewing Company , New England IPA,8.3,100,4,155,Rotating, MA , Charlton,42.1348444,-71.9643153
46,Framboise Du Fermier, Side Project Brewing , Belgian Saison,8.0,100,4,256,Rotating, MO , Maplewood,38.6125521,-90.32455990000001
47,Cable Car, The Lost Abbey , American Wild Ale,7.0,100,4,1102,Rotating, CA , San Marcos,33.1433723,-117.1661449
48,Supplication, Russian River Brewing Company , American Wild Ale,7.75,100,4,6628,Rotating, CA , Santa Rosa,49.2633419,-123.1024943
49,Citra, Kern River Brewing Company , American Imperial IPA,8.0,100,4,1830,Rotating, CA , Kernville,35.733073499999996,-118.4339459
50,Double Dry Hopped Congress Street, Trillium Brewing Company , New England IPA,7.2,100,4,1595,Rotating, MA , Boston,42.3602534,-71.0582912
51,Focal Banger, The Alchemist , New England IPA,7.0,100,4,4119,Year-round, VT , Stowe,44.465374100000005,-72.6860186
52,Green, Tree House Brewing Company , New England IPA,7.6,100,4,3259,Rotating, MA , Charlton,42.1348444,-71.9643153
53,Lou Pepe - Framboise, Brasserie Cantillon , Belgian Fruit Lambic,5.5,100,4,1410,Rotating, Belgium , Brussels,50.8436709,4.3674367
54,Aaron, Hill Farmstead Brewery , English Barleywine,9.0,100,4,645,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
55,Oude Geuze Vintage,Brouwerij 3 Fonteinen, Belgian Gueuze,6.0,99,4,835,Rotating, Belgium , Beersel,50.768372799999995,4.305109799999999
56,Chemtrailmix,3 Floyds Brewing Co., Russian Imperial Stout,15.0,100,4,189,Spring, IN , Munster,41.564479799999994,-87.5125412
57,Sip Of Sunshine, Lawson's Finest Liquids , American Imperial IPA,8.0,100,4,5844,Year-round, VT , Waitsfield,44.192132,-72.82270759999999
58,Swish, Bissell Brothers Brewing Co. , New England IPA,8.0,100,4,1610,Rotating, ME , Portland,29.0654892,-110.9717051
59,Black Tuesday, The Bruery , American Imperial Stout,19.5,100,4,4117,Fall, CA , Placentia,47.24350870000001,-53.9635466
60,Maman, Perennial Artisan Ales , American Imperial Stout,11.5,100,4,379,Rotating, MO , Saint Louis,38.6268039,-90.1994097
61,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),3 Floyds Brewing Co., Russian Imperial Stout,15.0,100,4,941,Rotating, IN , Munster,41.564479799999994,-87.5125412
62,Society & Solitude #4, Hill Farmstead Brewery , New England IPA,8.0,100,4,1383,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
63,Chocolate Rain, The Bruery , American Imperial Stout,19.6,100,4,2831,Rotating, CA , Placentia,47.24350870000001,-53.9635466
64,Beatification, Russian River Brewing Company , American Wild Ale,6.0,100,4,2823,Rotating, CA , Santa Rosa,49.2633419,-123.1024943
65,Anabasis, Side Project Brewing , American Barleywine,14.0,100,4,168,Rotating, MO , Maplewood,38.6125521,-90.32455990000001
66,Nectarine Premiere, de Garde Brewing , Belgian Saison,7.1,100,4,353,Rotating, OR , Tillamook,45.460293,-123.7266793
67,Fourth Dementia - Bourbon Barrel-Aged, Kuhnhenn Brewing Company , English Old Ale,13.5,100,4,2002,Rotating, MI , Warren,42.4932575,-83.0062746
68,Doppelganger, Tree House Brewing Company , New England IPA,8.2,100,4,1989,Rotating, MA , Charlton,42.1348444,-71.9643153
69,Ephraim, Hill Farmstead Brewery , New England IPA,10.0,100,4,1104,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
70,Double Dry Hopped Fort Point Pale Ale, Trillium Brewing Company , American Pale Ale (APA),6.6,100,4,1700,Rotating, MA , Boston,42.3602534,-71.0582912
71,Haze, Tree House Brewing Company , New England IPA,8.2,100,4,3005,Rotating, MA , Charlton,42.1348444,-71.9643153
72,It Was All A Dream, J. Wakefield Brewing , American Imperial Stout,17.0,100,4,146,Rotating, FL , Miami,25.7742658,-80.1936589
73,Grande Negro Voodoo Papi - Bourbon Barrel-Aged, Voodoo Brewery , American Imperial Stout,12.5,100,4,399,Rotating, PA , Meadville,41.641445000000004,-80.151449
74,Triple Sunshine, Lawson's Finest Liquids , American Imperial IPA,10.5,100,4,1011,Rotating, VT , Waitsfield,44.192132,-72.82270759999999
75,Triple Shot, Tree House Brewing Company , American Imperial Stout,9.0,100,4,549,Rotating, MA , Charlton,42.1348444,-71.9643153
76,Black Note Stout, Bell's Brewery - Eccentric Café & General Store , American Imperial Stout,11.2,100,4,4920,Rotating, MI , Kalamazoo,42.291707,-85.5872286
77,V.S.O.J., Revolution Brewing , English Barleywine,14.0,100,4,213,Rotating, IL , Chicago,41.875561600000005,-87.6244212
78,Keene Idea, Alpine Beer Company , American Imperial IPA,8.88,100,4,494,Rotating, CA , Alpine,54.6610806,-102.0793157
79,Saint Lamvinus, Brasserie Cantillon , Belgian Fruit Lambic,7.0,100,4,2239,Rotating, Belgium , Brussels,50.8436709,4.3674367
80,The Broken Truck, de Garde Brewing , American Wild Ale,5.0,100,4,330,Rotating, OR , Tillamook,45.460293,-123.7266793
81,Galaxy Dry Hopped Fort Point Pale Ale, Trillium Brewing Company , American Pale Ale (APA),6.6,100,4,1751,Rotating, MA , Boston,42.3602534,-71.0582912
82,Beer Geek Vanilla Shake - Bourbon Barrel-Aged, Mikkeller ApS , American Imperial Stout,13.0,100,4,544,Rotating, Denmark , København,55.6867243,12.5700724
83,Abricot Du Fermier, Side Project Brewing , Belgian Saison,8.0,100,4,374,Rotating, MO , Maplewood,38.6125521,-90.32455990000001
84,Bourbon Paradise, Prairie Artisan Ales , American Imperial Stout,13.7,100,4,627,Rotating, OK , Tulsa,36.1556805,-95.9929113
85,Flora Plum, Hill Farmstead Brewery , Belgian Saison,5.0,100,4,352,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
86,Saison Du Fermier, Side Project Brewing , Belgian Saison,7.0,100,4,832,Rotating, MO , Maplewood,38.6125521,-90.32455990000001
87,West Ashley, Sante Adairius Rustic Ales , American Wild Ale,7.3,100,4,1150,Rotating, CA , Capitola,36.9762927,-121.9540577
88,Breakfast Stout, Founders Brewing Company , English Oatmeal Stout,8.3,100,4,17575,Year-round, MI , Grand Rapids,42.963240500000005,-85.66786390000001
89,A Deal With The Devil, Anchorage Brewing Company , American Barleywine,17.3,100,4,1105,Rotating, AK , Anchorage,61.2163129,-149.8948523
90,Trappistes Rochefort 10, Brasserie de Rochefort , Belgian Quadrupel (Quad),11.3,100,4,9709,Year-round, Belgium , Rochefort,50.1588503,5.2233447
91,Coffee Cinnamon B-Bomb, Fremont Brewing Company , American Strong Ale,13.0,100,4,1039,Rotating, WA , Seattle,47.6038321,-122.3300624
92,Beyond Good And Evil, Hill Farmstead Brewery , American Imperial Stout,10.0,100,4,721,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
93,§ucaba, Firestone Walker Brewing Co. , English Barleywine,12.5,100,4,5431,Rotating, CA , Paso Robles,35.6267654,-120.6912456
94,Ghost In The Machine - Double Dry-Hopped, Parish Brewing Company , New England IPA,8.0,100,4,282,Rotating, LA , Broussard,30.1471506,-91.9612413
95,Bourbon Barrel Aged Plead The 5th, Dark Horse Brewing Company , Russian Imperial Stout,12.0,100,4,3319,Fall, MI , Marshall,42.272136700000004,-84.96420079999999
96,Last Buffalo In The Park, Funky Buddha Brewery , American Imperial Porter,11.5,100,4,876,Rotating, FL , Oakland Park,26.1801443,-80.1372006
97,Notorious Triple IPA, Boneyard Beer Company , American Imperial IPA,12.0,100,4,865,Rotating, OR , Bend,44.058172799999994,-121.31530959999999
98,Alter Ego, Tree House Brewing Company , New England IPA,6.8,100,4,2506,Rotating, MA , Charlton,42.1348444,-71.9643153
99,Sunday Brunch, Kane Brewing Company , American Imperial Porter,9.2,100,4,807,Rotating, NJ , Ocean,39.977818,-74.3319287
100,Black Gold, Central Waters Brewing Co. , American Imperial Stout,11.0,100,4,806,Rotating, WI , Amherst,44.450677500000005,-89.28459050000001
101,Pseudo Sue - Double Dry-Hopped, Toppling Goliath Brewing Company , American Pale Ale (APA),6.8,100,4,1174,Rotating, IA , Decorah,43.3033056,-91.7857092
102,Miami Madness, J. Wakefield Brewing , Berliner Weisse,5.5,100,4,445,Rotating, FL , Miami,25.7742658,-80.1936589
103,Society & Solitude #5, Hill Farmstead Brewery , New England IPA,8.1,100,4,1603,Rotating, VT , Greensboro Bend,44.5489422,-72.2648257
104,The Rusty Nail, Fremont Brewing Company , English Oatmeal Stout,14.5,100,4,648,Rotating, WA , Seattle,47.6038321,-122.3300624
105,Pirate Paradise, Prairie Artisan Ales , American Imperial Stout,13.0,100,4,308,Rotating, OK , Tulsa,36.1556805,-95.9929113
106,Cutting Tiles (Mosaic), Trillium Brewing Company , New England IPA,8.5,100,4,1347,Rotating, MA , Boston,42.3602534,-71.0582912
107,Blåbær Lambik, Brasserie Cantillon , Belgian Fruit Lambic,5.0,99,4,849,Rotating, Belgium , Brussels,50.8436709,4.3674367
108,Samuel Adams Utopias, Boston Beer Company (Samuel Adams) , American Strong Ale,28.0,100,4,2727,Rotating, MA , Jamaica Plain,42.3098201,-71.12032990000002
109,Pirate Bomb!, Prairie Artisan Ales , American Imperial Stout,15.0,100,4,2411,Rotating, OK , Tulsa,36.1556805,-95.9929113
110,Speedway Stout - Bourbon Barrel-Aged, AleSmith Brewing Company , American Imperial Stout,12.0,100,4,2272,Rotating, CA , San Diego,32.7174209,-117.16277140000001
111,Double Shot, Tree House Brewing Company , American Stout,7.6,100,4,1154,Rotating, MA , Charlton,42.1348444,-71.9643153
112,Mexican Brunch, Kane Brewing Company , American Imperial Porter,9.2,100,4,572,Rotating, NJ , Ocean,39.977818,-74.3319287
113,Great, Alpine Beer Company , American Barleywine,14.0,100,4,738,Rotating, CA , Alpine,54.6610806,-102.0793157
114,Grey Monday, The Bruery , American Imperial Stout,19.9,100,4,1888,Summer, CA , Placentia,33.8714814,-117.8617337
115,Pugachev Royale,Hangar 24 Brewing, Russian Imperial Stout,14.8,99,4,322,Rotating, CA , Redlands,34.055735,-117.1888961
116,Bomb!, Prairie Artisan Ales , American Imperial Stout,13.0,100,4,6476,Rotating, OK , Tulsa,36.1556805,-95.9929113
117,The Peach, de Garde Brewing , American Wild Ale,7.3,100,4,280,Fall, OR , Tillamook,45.460293,-123.7266793
118,Wide Awake It's Morning, Funky Buddha Brewery , American Imperial Porter,10.0,100,4,981,Rotating, FL , Oakland Park,26.1801443,-80.1372006
119,Consecration, Russian River Brewing Company , American Wild Ale,10.0,100,4,5540,Rotating, CA , Santa Rosa,49.2633419,-123.1024943
120,Pseudo Sue, Toppling Goliath Brewing Company , American Pale Ale (APA),5.8,100,4,5395,Year-round, IA , Decorah,43.3033056,-91.7857092
121,Black Tuesday - Reserve, The Bruery , American Imperial Stout,20.5,100,4,276,Rotating, CA , Placentia,47.24350870000001,-53.9635466
122,Parabajava, Firestone Walker Brewing Co. , Russian Imperial Stout,14.0,100,4,897,Rotating, CA , Paso Robles,35.6267654,-120.6912456
